region,prefecture,commune,nom,categorie,statut,en_service,lon,lat
Maritime,Golfe,Golfe 7,Microfinance COECEB Segbe,Micro-Finance,En construction,False,1.11238,6.19456
Maritime,Golfe,Golfe 7,Institution de Microfinance Coopad Segbe,Micro-Finance,Utilisé,True,1.10414,6.19956
Maritime,Golfe,Golfe 5,BOA ADidogome,Banque,Utilisé,True,1.16515,6.18599
Maritime,Golfe,Golfe 5,SUNU Assurances Avenou,Assurance,Utilisé,True,1.18462,6.17385
Maritime,Golfe,Golfe 3,SPT de La Residence du Benin,Banque,Utilisé,True,1.22285,6.1733
Maritime,Golfe,Golfe 4,SUNU Assurances Vie,Assurance,Utilisé,True,1.20984,6.12508
Maritime,Golfe,Golfe 4,La Protectrice S.A,Assurance,Utilisé,True,1.2277,6.1336
Maritime,Golfe,Golfe 5,SGCAR Assurance,Assurance,Utilisé,True,1.20715,6.18899
Maritime,Golfe,Golfe 5,COOPEC Grace plus Amadahomé,Micro-Finance,Utilisé,True,1.15223,6.19721
Maritime,Golfe,Golfe 3,Afrik Assurance,Assurance,Utilisé,True,1.22143,6.16456
Maritime,Golfe,Golfe 4,Lorica Assurance,Assurance,Utilisé,True,1.20321,6.16292
Maritime,Golfe,Golfe 4,Careas Assurance,Assurance,Utilisé,True,1.21127,6.12989
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Prunelle Assurance,Assurance,Utilisé,True,1.18223,6.2065
Maritime,Golfe,Golfe 5,Assur Invest,Assurance,Utilisé,True,1.15895,6.20457
Maritime,Golfe,Golfe 3,SOCAR Togo,Assurance,Utilisé,True,1.20481,6.14615
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,ANOS,Assurance,Utilisé,True,1.18278,6.21132
Maritime,Golfe,Golfe 3,Afrique Envergure Sarl,Assurance,Utilisé,True,1.21996,6.14498
Maritime,Golfe,Golfe 4,Saeco Assurances,Assurance,Utilisé,True,1.22822,6.13847
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Primus Courtier,Assurance,Utilisé,True,1.20094,6.2447
Maritime,Golfe,Golfe 4,Direction Nationale COOPEC-AD,Micro-Finance,Utilisé,True,1.20339,6.11955
Maritime,Golfe,Golfe 1,NSIA Banque Akodessewa,Assurance,Utilisé,True,1.26741,6.156
Maritime,Golfe,Golfe 3,Sanlam GTA,Assurance,Utilisé,True,1.21078,6.19168
Maritime,Golfe,Golfe 3,CIF-Vie Togo S.A,Assurance,Utilisé,True,1.20294,6.16726
Maritime,Golfe,Golfe 3,LC Assurance,Assurance,Néant,True,1.20539,6.17698
Maritime,Golfe,Golfe 4,BTCI Dékon,Assurance,En construction,False,1.22573,6.13616
Maritime,Golfe,Golfe 3,SIAR Assurance,Assurance,Utilisé,True,1.22333,6.16815
Maritime,Golfe,Golfe 3,CAR.AF.E. Assurance,Assurance,Utilisé,True,1.20982,6.16233
Maritime,Golfe,Golfe 5,SCAT Assurance,Assurance,Utilisé,True,1.20012,6.18407
Maritime,Golfe,Golfe 5,CCM Assurance Avé Maria,Assurance,Utilisé,True,1.18332,6.17547
Maritime,Golfe,Golfe 4,Bellis Courtage Assurance,Assurance,Utilisé,True,1.21275,6.13587
Maritime,Golfe,Golfe 1,MECI de Be Kpota,Micro-Finance,Utilisé,True,1.2641,6.16077
Maritime,Golfe,Golfe 4,Gras Savoye,Assurance,Utilisé,True,1.217,6.13492
Maritime,Golfe,Golfe 3,ASCOMA,Assurance,Utilisé,True,1.20207,6.14906
Maritime,Golfe,Golfe 1,ARIA-Togo Akodessewa,Assurance,Utilisé,True,1.26528,6.15399
Maritime,Golfe,Golfe 1,OLEA-Togo,Assurance,Utilisé,True,1.24872,6.13303
Maritime,Golfe,Golfe 5,NSIA Assurance Avé Maria,Banque,Utilisé,True,1.1859,6.17324
Maritime,Golfe,Golfe 3,Societe Generale Internationale de Courtage (sgic Sarl),Assurance,Utilisé,True,1.23447,6.16848
Maritime,Golfe,Golfe 5,UTB Adidoadin,Banque,Utilisé,True,1.18991,6.20528
